,State_ab,City,Zip_Code,Area_Code,Lat,Lon,Mean,Median,Stdev,Households,Mean-Binned,Median-Binned,MeanLow,MeanMedium,MeanHigh,MedianLow,MedianMedium,MedianHigh
4235,IL,Reynolds,61279,309,41.331901,-90.672145,-0.323768841765425,2.2807398451811984,70077.8418906666+0i,9,MeanMedium,MedianHigh,0,1,0,0,0,1
4236,IL,Richmond,60071,815,42.463924,-88.30873100000001,1.1413043761631887,0.3368693757567294,159746.281535558+0i,905,MeanMedium,MedianMedium,0,1,0,0,1,0
4237,IL,Ashley,62808,618,38.375809999999994,-89.180483,0.25694099700350564,-0.5327496884751804,127960.777577246+0i,79,MeanMedium,MedianLow,0,1,0,1,0,0
4238,IL,Junction,62954,618,37.797884,-88.260616,-0.17181154588731037,-0.3719582537137807,87584.4293291621+0i,412,MeanMedium,MedianMedium,0,1,0,0,1,0
4239,IL,Ringwood,60072,815,42.397504999999995,-88.303206,1.2107315314003881,0.2822858311694617,155258.147962463+0i,264,MeanMedium,MedianMedium,0,1,0,0,1,0
4240,IL,Mount Sterling,62353,217,40.025188,-90.637957,-0.6969918351526929,-0.4516203881490025,63372.6133432294+0i,29,MeanMedium,MedianMedium,0,1,0,0,1,0
4241,IL,River Forest,60305,708,41.894875,-87.819064,2.779458291186951,1.649386034918721,220634.64695296+0i,3944,MeanHigh,MedianHigh,0,0,1,0,0,1
4242,IL,Riverside,60546,708,41.830956,-87.815854,2.1384195525530227,1.1626972682263712,196104.513757575+0i,3234,MeanMedium,MedianMedium,0,1,0,0,1,0
4243,IL,Deerfield,60015,847,42.172903000000005,-87.894862,3.0653932252865905,1.7621091363374382,229673.54320747+0i,1227,MeanHigh,MedianHigh,0,0,1,0,0,1
4244,IL,Robbins,60472,708,41.643124,-87.70810300000001,-0.7622520910887125,-0.7277584158798969,71827.945757814+0i,1800,MeanLow,MedianLow,1,0,0,1,0,0
4245,IL,Robinson,62454,618,39.008567,-87.73344,0.29985611043530924,-0.33920812696142016,123908.384267657+0i,2756,MeanMedium,MedianMedium,0,1,0,0,1,0
4246,IL,Rochelle,61068,815,41.919778,-89.062264,-0.04272120086887594,-0.3687752497469606,101190.030613403+0i,3739,MeanMedium,MedianMedium,0,1,0,0,1,0
4247,IL,Greenfield,62044,217,39.269275,-90.206552,-0.027111385533253197,2.2807398451811984,114419.949662919+0i,82,MeanMedium,MedianHigh,0,1,0,0,0,1
4248,IL,Rockdale,60436,815,41.505794,-88.118086,0.3384744338581821,-0.31067299374324725,121131.211379685+0i,798,MeanMedium,MedianMedium,0,1,0,0,1,0
4249,IL,Rockford,61104,815,42.258835999999995,-89.064553,-2.151236272524662,-1.4493429284361785,0+0i,0,,,0,0,0,0,0,0
4250,IL,Rock Island,61201,309,41.470163,-90.583113,0.2854989876222048,-0.29772960651879493,121661.983984724+0i,15451,MeanMedium,MedianMedium,0,1,0,0,1,0
4251,IL,Rockton,61072,815,42.451356,-89.063927,0.555127001775899,0.12813394374510095,116026.750693603+0i,2816,MeanMedium,MedianMedium,0,1,0,0,1,0
4252,IL,Rolling Meadows,60008,847,42.074909000000005,-88.025363,1.0015348971165023,0.08934108289948023,149878.805798664+0i,8983,MeanMedium,MedianMedium,0,1,0,0,1,0
4253,IL,Romeoville,60446,815,41.637536,-88.095035,0.4299634016272256,-0.18678451122216877,119005.664985394+0i,11745,MeanMedium,MedianMedium,0,1,0,0,1,0
4254,IL,Roscoe,61073,815,42.42557,-89.009467,0.8102321423904391,-0.03632540574368919,138834.933551151+0i,3801,MeanMedium,MedianMedium,0,1,0,0,1,0
4255,IL,Roselle,60172,630,41.980229,-88.085863,0.8729104070694604,0.2907406854563278,130607.812867739+0i,1259,MeanMedium,MedianMedium,0,1,0,0,1,0
4256,IL,Rosemont,60018,847,41.988977,-87.871739,0.5957519988105859,-0.20955044975048015,132883.178952858+0i,1676,MeanMedium,MedianMedium,0,1,0,0,1,0
4257,IL,East Alton,62024,618,38.887788,-90.073246,0.15752724585718805,-0.33872321620084994,110994.706992906+0i,1767,MeanMedium,MedianMedium,0,1,0,0,1,0
4258,IL,Rossville,60963,217,40.381482,-87.669923,0.7267577036935683,-0.2556169720046548,145648.380448408+0i,576,MeanMedium,MedianMedium,0,1,0,0,1,0
4259,IL,Round Lake Beach,60073,847,42.382409,-88.080689,0.2528012884242072,-0.2819762236048842,113515.45121871+0i,8045,MeanMedium,MedianMedium,0,1,0,0,1,0
4260,IL,Round Lake Park,60073,847,42.34923,-88.079144,-0.45590228509972947,-0.5323766801978187,77763.9709055831+0i,3016,MeanMedium,MedianLow,0,1,0,1,0,0
4261,IL,Royal,61871,217,40.193165,-87.972298,0.4588030992280368,-0.30516490484753894,127570.427425058+0i,102,MeanMedium,MedianMedium,0,1,0,0,1,0
4262,IL,Zeigler,62999,618,37.877644000000004,-89.11357199999999,-0.5951157979731077,-0.620033625377827,77705.6312505597+0i,505,MeanMedium,MedianLow,0,1,0,1,0,0
4263,IL,Rushville,62681,217,40.119966,-90.566548,-0.5026381594251521,-0.5271172634870183,74902.262488614+0i,1468,MeanMedium,MedianLow,0,1,0,1,0,0
4264,IL,Toluca,61369,815,40.983794,-89.041327,-0.5910260851802706,-0.4972766012980792,66012.9208207741+0i,117,MeanMedium,MedianMedium,0,1,0,0,1,0
4265,IL,Clay City,62824,618,38.764425,-88.360024,-0.681130781479372,-0.9508671001791976,66877.6018676481+0i,39,MeanMedium,MedianLow,0,1,0,1,0,0
4266,IL,Avon,61415,309,40.721204,-90.40692,-0.2084670117202282,-0.7250354554551562,110210.144321681+0i,68,MeanMedium,MedianLow,0,1,0,1,0,0
4267,IL,St Charles,60174,331,41.918939,-88.31143399999999,1.9151259375607224,0.9822482972480079,188828.519500982+0i,12866,MeanMedium,MedianMedium,0,1,0,0,1,0
4268,IL,Saint Elmo,62458,618,39.023724,-88.85090500000001,-0.927655770552612,-0.7340249549395741,22158.1662591437+0i,523,MeanLow,MedianLow,1,0,0,1,0,0
4269,IL,Allendale,62410,618,38.591913,-87.64754599999999,-0.6760413443917,-0.6485190241590184,59248.4912063639+0i,200,MeanMedium,MedianLow,0,1,0,1,0,0
4270,IL,Du Quoin,62832,618,38.034853999999996,-89.238563,0.15944123793794396,-0.31578320714310304,107657.748900865+0i,85,MeanMedium,MedianMedium,0,1,0,0,1,0
4271,IL,Saint Libory,62282,618,38.363067,-89.718104,0.5974901551549054,0.1435516192093861,119620.754905019+0i,258,MeanMedium,MedianMedium,0,1,0,0,1,0
4272,IL,Salem,62881,618,38.627727,-88.957592,-0.2090048639184572,-0.5084792832281767,97761.0965712244+0i,3044,MeanMedium,MedianMedium,0,1,0,0,1,0
4273,IL,Sandoval,62882,618,38.612014,-89.11931700000001,-0.35658030315956074,-0.5577661102769077,96668.1138856249+0i,441,MeanMedium,MedianLow,0,1,0,1,0,0
4274,IL,Sandwich,60548,815,41.650067,-88.61902099999999,-0.17569983264612166,2.2807398451811984,74858.4042866932+0i,72,MeanMedium,MedianHigh,0,1,0,0,0,1
4275,IL,Delavan,61734,309,40.305983000000005,-89.60404100000001,-0.46521830655813706,-0.4325845323943085,67491.3361613703+0i,161,MeanMedium,MedianMedium,0,1,0,0,1,0
4276,IL,Sauk Village,60411,708,41.490094,-87.570624,-0.30476721101662846,-0.4314779411714687,88063.4544767038+0i,3380,MeanMedium,MedianMedium,0,1,0,0,1,0
4277,IL,Saunemin,61769,815,40.892363,-88.405989,-0.026844603694619034,-0.31890404306369624,100063.363017753+0i,129,MeanMedium,MedianMedium,0,1,0,0,1,0
4278,IL,Savoy,61874,217,40.059135,-88.254497,1.1692432473868462,0.04026562720792094,161053.835968376+0i,3248,MeanMedium,MedianMedium,0,1,0,0,1,0
4279,IL,Gibson City,60936,217,40.428121999999995,-88.526162,-0.1317532174712422,-0.44505544246743595,95848.830232568+0i,298,MeanMedium,MedianMedium,0,1,0,0,1,0
4280,IL,Schaumburg,60193,847,42.029007,-88.083656,0.9512567334599313,0.02100596648680989,146284.992123649+0i,30011,MeanMedium,MedianMedium,0,1,0,0,1,0
4281,IL,Schiller Park,60176,847,41.958626,-87.86931700000001,0.1960026986697199,-0.38968858049770866,114274.857042906+0i,4299,MeanMedium,MedianMedium,0,1,0,0,1,0
4282,IL,Sciota,61475,309,40.562428000000004,-90.748036,-0.49070199235650847,2.2807398451811984,66725.4471037461+0i,35,MeanMedium,MedianHigh,0,1,0,0,0,1
4283,IL,Palmyra,62674,217,39.477713,-90.103786,-0.2459161429464313,-0.2675283696617396,84813.1060265933+0i,35,MeanMedium,MedianMedium,0,1,0,0,1,0
4284,IL,Ladd,61329,815,41.367107,-89.27481800000001,-0.13102099823220317,-0.5106675984553656,91450.3977630632+0i,119,MeanMedium,MedianMedium,0,1,0,0,1,0
4285,IL,Seneca,61360,815,41.286602,-88.627812,-2.151236272524662,-1.4493429284361785,0+0i,0,,,0,0,0,0,0,0
4286,IL,Sesser,62884,618,38.090336,-89.050813,-0.5117841739926818,-0.49860699748733606,41460.8447760171+0i,772,MeanMedium,MedianMedium,0,1,0,0,1,0
4287,IL,Shabbona,60550,815,41.764305,-88.88217900000001,-0.039840000987439596,-0.3862569043459807,99239.7482571933+0i,374,MeanMedium,MedianMedium,0,1,0,0,1,0
4288,IL,Junction,62954,618,37.717044,-88.186284,-0.4582159787347785,-0.5415775510394083,84302.9036950618+0i,588,MeanMedium,MedianLow,0,1,0,1,0,0
4289,IL,Shelbyville,62565,217,39.409445,-88.798932,-0.4032217094830493,-0.47989441557302226,68932.2090797712+0i,2207,MeanMedium,MedianMedium,0,1,0,0,1,0
4290,IL,Sheridan,60551,815,41.528347,-88.67955400000001,-0.30222744610119295,-0.46895283943707794,80262.83793625+0i,315,MeanMedium,MedianMedium,0,1,0,0,1,0
4291,IL,Sherrard,61281,309,41.310153,-90.497077,0.03061502243570257,-0.35089571965208793,99642.5384123725+0i,300,MeanMedium,MedianMedium,0,1,0,0,1,0
4292,IL,Shipman,62685,618,39.119488,-90.04518900000001,0.25804349674522503,-0.2609385567616822,112044.096120052+0i,226,MeanMedium,MedianMedium,0,1,0,0,1,0
